
harakiri-sushi       | 100.0m / 100.0m (100% full) | 7.0 / 5  (100.0%) | 0.4s/growth (40 over 18s)
neo-net              |  94.7m / 125.0m (75% full)  | 8.0 / 8  (100.0%) | 0.9s/growth (25 over 23s)
zer0                 | 101.4m / 187.5m (54% full)  | 8.0 / 8  (100.0%) | 0.7s/growth (40 over 30s)
max-hardware         |  69.4m / 250.0m (27% full)  | 5.0 / 5  (100.0%) | 0.7s/growth (30 over 23s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.3s/growth (20 over 46s)
phantasy             | 305.1m / 600.0m (50% full)  | 7.0 / 7  (100.0%) | 0.9s/growth (35 over 34s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.7s/growth (32 over 119s)
silver-helix         | 553.9m / 1.1b   (49% full)  | 10.0 / 10 (100.0%) | 2.1s/growth (30 over 65s)
omega-net            | 802.3m / 1.7b   (47% full)  | 11.7 / 11 (100.0%) | 3.4s/growth (30 over 102s)
johnson-ortho        |   1.4b / 1.8b   (78% full)  | 17.0 / 17 (100.0%) | 2.9s/growth (65 over 191s)
the-hub              |   2.3b / 4.9b   (46% full)  | 18.6 / 15 ( 99.9%) | 4.2s/growth (50 over 214s)
computek             |   3.2b / 5.6b   (58% full)  | 20.0 / 19 ( 91.4%) | 4.4s/growth (60 over 266s)
summit-uni           |   5.7b / 5.7b   (100% full) | 21.6 / 19 ( 76.5%) | 7.2s/growth (50 over 364s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 87.3%) | 6.1s/growth (41 over 250s)
millenium-fitness    |   4.7m / 6.3b   (0% full)   | 16.0 / 16 ( 71.7%) | 7.1s/growth (44 over 314s)
aevum-police         |   6.7b / 6.7b   (100% full) | 31.2 / 25 ( 70.3%) | 13.6s/growth (36 over 491s)
netlink              |   6.9b / 6.9b   (100% full) | 21.0 / 21 ( 81.4%) | 6.1s/growth (54 over 329s)
catalyst             |  11.5b / 11.5b  (100% full) | 32.4 / 23 ( 68.4%) | 16.6s/growth (31 over 517s)
syscore              | 588.5m / 14.7b  (4% full)   | 79.0 / 26 ( 15.8%) | 26s/growth (65 over 1695s)
rho-construction     |   6.6b / 17.4b  (37% full)  | 17.0 / 17 ( 72.6%) | 7.4s/growth (44 over 325s)
alpha-ent            | 715.5m / 17.9b  (4% full)   | 63.0 / 21 ( 28.2%) | 24.3s/growth (55 over 1338s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 7s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.5s/growth (5 over 7s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
joesguns             |  37.7m / 62.5m  (60% full)  | 10.5 / 5  (100.0%) | 0.5s/growth (20 over 11s)
nectar-net           |  40.4m / 68.8m  (58% full)  | 10.4 / 7  (100.0%) | 0.6s/growth (25 over 15s)
hong-fang-tea        |  43.5m / 75.0m  (58% full)  | 5.2 / 5  (100.0%) | 0.6s/growth (20 over 13s)
harakiri-sushi       |  42.3m / 100.0m (42% full)  | 5.5 / 5  (100.0%) | 0.4s/growth (40 over 16s)
neo-net              |  93.0m / 125.0m (74% full)  | 8.2 / 8  (100.0%) | 0.9s/growth (25 over 23s)
