62 | WEAK | Diff: 8 | Finished: 51:36.023 | START: 51:17.430 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:17.430
63 | GROW | Diff: 8 | Finished: 51:37.180 | START: 51:18.678 | ATTEMPTED WAIT UNTIL: 51:22.320 | EXEC: 51:22.320
63 | WEAK | Diff: 5 | Finished: 51:37.188 | START: 51:18.618 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:18.618
64 | GROW | Diff: 4 | Finished: 51:37.360 | START: 51:18.859 | ATTEMPTED WAIT UNTIL: 51:22.501 | EXEC: 51:22.504
64 | WEAK | Diff: 9 | Finished: 51:37.372 | START: 51:18.798 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:18.798
65 | GROW | Diff: 7 | Finished: 51:37.540 | START: 51:19.032 | ATTEMPTED WAIT UNTIL: 51:22.678 | EXEC: 51:22.681
65 | WEAK | Diff: 7 | Finished: 51:37.547 | START: 51:18.975 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:18.975
66 | GROW | Diff: 10 | Finished: 51:45.790 | START: 51:27.280 | ATTEMPTED WAIT UNTIL: 51:30.925 | EXEC: 51:30.928
66 | WEAK | Diff: 8 | Finished: 51:45.795 | START: 51:27.222 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:27.222
67 | GROW | Diff: 9 | Finished: 51:45.964 | START: 51:27.454 | ATTEMPTED WAIT UNTIL: 51:31.096 | EXEC: 51:31.103
67 | WEAK | Diff: 7 | Finished: 51:45.965 | START: 51:27.393 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:27.393
68 | GROW | Diff: 9 | Finished: 51:55.210 | START: 51:36.698 | ATTEMPTED WAIT UNTIL: 51:40.347 | EXEC: 51:40.349
68 | WEAK | Diff: 6 | Finished: 51:55.215 | START: 51:36.644 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:36.644
69 | WEAK | Diff: 4 | Finished: 51:56.388 | START: 51:37.819 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:37.819
69 | GROW | Diff: 8 | Finished: 51:56.398 | START: 51:37.872 | ATTEMPTED WAIT UNTIL: 51:41.522 | EXEC: 51:41.538
70 | GROW | Diff: 2 | Finished: 51:56.547 | START: 51:38.044 | ATTEMPTED WAIT UNTIL: 51:41.692 | EXEC: 51:41.693
70 | WEAK | Diff: 3 | Finished: 51:56.557 | START: 51:37.989 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:37.989
71 | GROW | Diff: 5 | Finished: 51:56.720 | START: 51:38.217 | ATTEMPTED WAIT UNTIL: 51:41.863 | EXEC: 51:41.863
71 | WEAK | Diff: 0 | Finished: 51:56.725 | START: 51:38.160 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:38.160
69 | HACK | Diff: 2 | Finished: 51:57.246 | START: 51:37.928 | ATTEMPTED WAIT UNTIL: 51:51.737 | EXEC: 51:52.602
71 | HACK | Diff: 6 | Finished: 51:57.261 | START: 51:38.275 | ATTEMPTED WAIT UNTIL: 51:52.078 | EXEC: 51:52.613
70 | HACK | Diff: 7 | Finished: 51:57.262 | START: 51:38.102 | ATTEMPTED WAIT UNTIL: 51:51.907 | EXEC: 51:52.613
72 | GROW | Diff: 4 | Finished: 52:04.954 | START: 51:46.473 | ATTEMPTED WAIT UNTIL: 51:50.113 | EXEC: 51:50.114
72 | WEAK | Diff: 7 | Finished: 52:04.966 | START: 51:46.414 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:46.414
73 | GROW | Diff: 2 | Finished: 52:05.131 | START: 51:46.648 | ATTEMPTED WAIT UNTIL: 51:50.290 | EXEC: 51:50.293
